"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR345C",357.155636926332,2.74143942160875,0.306913023102487,8.93230073424844,4.17239443739144e-19,2.66031869328078e-15
"YHR214C-B",133.976398665712,3.51761395681425,0.476190950166084,7.38698195668647,1.50198970820155e-13,4.78834318974655e-10
"YHR214W-A",76.4391113957404,9.61764448966576,1.5138465718731,6.35311706507071,2.10995018465802e-10,4.48434745912652e-07
"YDR344C",47.4485915287205,8.92834038054354,1.53687040267172,5.80942958171512,6.26860533519357e-09,9.99215690429855e-06
"YDL185C-A",207.174314636047,2.44170990943464,0.42669810442879,5.72233596561975,1.05069272272543e-08,1.33984336001947e-05
"YHR214W",40.339237206871,7.24613214037408,1.54814609959921,4.6805221692255,2.86145165313494e-06,0.00304076929006473
"tP(UGG)M",30.7058997250304,-3.45115180421416,0.769898053810798,-4.48260881701395,7.37360215001547e-06,0.00671629818692837
"YCL058C",73.8121715189016,2.18830529290153,0.501243143916577,4.36575605962948,1.26683799115525e-05,0.0100966987895073
"YLL009C",1003.53371275938,1.01920771826581,0.253516253515774,4.02028550095464,5.81276539172054e-05,0.0411802134862335
"YHR213W",11.7413275477456,6.91469812388376,1.75081341204327,3.94942035303124,7.83406721832087e-05,0.0499500125840138
